ID	STRING
10001	GM Command List
10002	<color=green>Hç Trî T©n Thñ:<color> H·y luyÖn c«ng thËt tèt nhĞ! 
10003	Hoan nghªnh b¹n trÎ gia nhËp Vâ l©m truyÒn kú!  L·o tÆng b¹n <color=metal>5000 l­îng<color> ®Ó thuËn lîi luyÖn c«ng nhĞ! 
10004	Ng­¬i ®· nhËn hç trî lÇn ®Çu råi c¬ mµ!
10005	Chóc mõng c¸c h¹ ®¹t <color=green>cÊp 20<color>. §©y lµ 1 con chiÕn m· còng kh«ng ph¶i lµ quı nh­ng lµ quµ!
10006	Ng­¬i ®· nhËn th­ëng <color=green>cÊp 20<color> råi!
10007	Ng­¬i ch­a nhËn lÇn hç trî t©n thñ ®Çu tiªn!
10008	Ng­¬i lªn ®Õn <color=red>cÊp 20<color> ta sÏ t¨ng ng­¬i 1 con ngùa!  Cè g¾ng lªn! 
10009	Xin l·o tr­îng chØ gi¸o! 
10010	ChØ gi¸o th× kh«ng d¸m! Nh­ng trong th«n cã vµi ng­êi cÇn gióp ®ì! Ng­¬i h·y ®i gÆp hä xem! SÏ cã İch cho ng­¬i! 
10011	Tr­íc tiªn h·y ra ngoµi th«n luyÖn c«ng! Ngµy nay gian khæ ngµy sau sÏ phó quı! 
10012	"Mçi lÇn th¨ng cÊp, ng­¬i sÏ ®­îc 5 ®iÓm TiÒm n¨ng vµ 1 ®iÓm kü n¨ng. ViÖc ph©n phèi ®iÓm sÏ quyÕt ®Şnh tiÒn ®å cña  ng­¬i! "
10013	1 ng­êi h¶o h¸n 3 ng­êi gióp. V× vËy nªn kÕt cµng nhiÒu b»ng h÷u cµng tèt
10014	"TiÒn ®å réng thªnh thang, thµnh b¹i ®Òu do m×nh mµ ra! "
10015	Nh÷ng g× cÇn nãi ta ®· nãi hÕt råi! PhÇn cßn l¹i lµ do ë ng­¬i! 
10016	§a t¹ l·o tr­îng! 
10017	"<color=metal>§Ö tö ThiÕu L©m:<color> §êi ng­êi ThiÕu L©m lµ h¹nh phóc nhÊt, lµ chİnh ph¸i oai danh lÉm liÖt.\nB¹n cã muèn gia nhËp ph¸i <color=metal>ThiÕu L©m<color> chóng ta kh«ng?"
10018	"§· cã ®¼ng cÊp vµ danh väng cao, ng­¬i cã muèn xuÊt s­ hµnh tÈu giang hå kh«ng ?"
10019	C¸c h¹ ®· kh«ng cßn lµ ®Ö tö <color=metal>ThiÕu L©m<color> n÷a.\n Ta cã thÓ gióp g× cho c¸c h¹ kh«ng?
10020	§Ö tö ThiÕu L©m lÊy tõ bi lµm gèc!
10021	Ng­¬i thËt kh«ng cã duyªn víi <color=metal>ThiÕu L©m<color> chóng ta råi!
10022	"PhËt m«n thanh tŞnh, n÷ giíi kh«ng thÓ x«ng vµo!"
10023	"C¨n b¶n cña ng­¬i cßn kĞm l¾m! H·y ®i luyÖn tËp thªm, bao giê ®Õn <color=Red>cÊp 10<color> l¹i ®Õn t×m ta!"
10024	"Ng­¬i kh«ng thuéc nhãm Ngò hµnh cña ta, ®Õn ®©y lµm g×? H·y lªn diÔn ®µn häc hái thªm ®i"
10025	C¸c h¹ ®· trë thµnh ®Ö tö cña ThiÕu L©m h·y b«n tÈu giang hå vµ mang l¹i vÏ vang cho ThiÕu L©m chóng ta!
10026	<color=metal>§Ö tö Thiªn V­¬ng:<color> §êi ng­êi Thiªn V­¬ng lµ h¹nh phóc nhÊt, tuy lµ trung lËp nh­ng lu«n hµnh hiÖp tr­îng nghÜa. B¹n cã muèn gia nhËp ph¸i <color=metal>Thiªn V­¬ng<color> chóng ta kh«ng?
10027	C¸c h¹ ®· kh«ng cßn lµ ®Ö tö <color=metal>Thiªn V­¬ng<color> n÷a. Ta cã thÓ gióp g× cho c¸c h¹ kh«ng?
10028	Ng­¬i thËt kh«ng cã duyªn víi <color=metal>Thiªn V­¬ng<color> chóng ta råi!
10029	C¸c h¹ ®· trë thµnh ®Ö tö cña Thiªn V­¬ng h·y b«n tÈu giang hå vµ mang l¹i vÏ vang cho Thiªn V­¬ng chóng ta!
10030	§Ö tö Thiªn V­¬ng trung lËp, võa chèng Kim võa kh¸ng Tèng.
10031	<color=wood>§Ö tö §­êng M«n:<color> §êi ng­êi §­êng M«n lµ h¹nh phóc nhÊt, chuyªn gia ¸m khİ thËt lµ tho¶i m¸i. hahaha. B¹n cã muèn gia nhËp ph¸i <color=wood>§­êng M«n<color> chóng ta kh«ng?
10032	C¸c h¹ ®· kh«ng cßn lµ ®Ö tö <color=wood>§­êng M«n<color> n÷a. Ta cã thÓ gióp g× cho c¸c h¹ kh«ng?
10033	Ng­¬i thËt kh«ng cã duyªn víi <color=wood>§­êng M«n<color> chóng ta råi
10034	§­êng M«n kh«ng theo tµ còng ch¼ng bªn chİnh!
10035	C¸c h¹ ®· trë thµnh ®Ö tö cña §­êng M«n h·y b«n tÈu giang hå vµ mang l¹i vÏ vang cho §­êng M«n chóng ta!
10035	C¸c h¹ ®· trë thµnh ®Ö tö cña §­êng M«n h·y b«n tÈu giang hå vµ mang l¹i vÏ vang cho §­êng M«n chóng ta!
10036	<color=wood>§Ö tö Ngò §éc:<color> §êi ng­êi Ngò §éc lµ h¹nh phóc nhÊt, chuyªn dïng ®éc còng lµ mét c¸i thó vŞ cña nã. B¹n cã muèn gia nhËp ph¸i <color=wood>Ngò §éc<color> chóng ta kh«ng?
10037	C¸c h¹ ®· kh«ng cßn lµ ®Ö tö <color=wood>Ngò §éc<color> n÷a. Ta cã thÓ gióp g× cho c¸c h¹ kh«ng?
10038	Ng­¬i thËt kh«ng cã duyªn víi <color=wood>Ngò §éc<color> chóng ta råi
10039	Bæn gi¸o chuyªn dïng ®éc ®Ó uy danh thiªn h¹!
10040	C¸c h¹ ®· trë thµnh ®Ö tö cña Ngò §éc h·y b«n tÈu giang hå vµ mang l¹i vÏ vang cho Ngò §éc chóng ta!
10041	<color=water>§Ö tö Nga My:<color> §êi ng­êi Nga My lµ h¹nh phóc nhÊt, tuy lµ ng­êi xuÊt gia nh­ng vÉn mang nĞt ®Ñp cña ng­êi th­êng. B¹n cã muèn gia nhËp ph¸i <color=water>Nga My<color> chóng ta kh«ng?
10042	C¸c h¹ ®· kh«ng cßn lµ ®Ö tö <color=water>Nga My<color> n÷a. Ta cã thÓ gióp g× cho c¸c h¹ kh«ng?
10043	Ng­¬i thËt kh«ng cã duyªn víi <color=water>Nga My<color> chóng ta råi?
10044	Nga My lµ n¬i  n÷ nhi tŞnh t©m nghiªn cøu phËt ph¸p vµ vâ nghÖ!
10045	C¸c h¹ ®· trë thµnh ®Ö tö cña Nga My h·y b«n tÈu giang hå vµ mang l¹i vÏ vang cho Nga My chóng ta!
